GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EspotifyA,default,ServidorCentral,26,0,0,0,7,0,2,0,2,0
EspotifyA,excepciones,ListaRepetidaException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,GeneroNoExisteException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,UsuarioRepetidoException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,UsuarioNoExisteException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,GeneroRepetidoException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,AlbumNoExisteException,0,4,0,0,0,2,0,1,0,1
EspotifyA,excepciones,AlbumRepetidoException,4,0,0,0,2,0,1,0,1,0
EspotifyA,logica,Album,48,346,8,16,14,86,9,27,1,23
EspotifyA,logica,Genero,7,86,0,0,2,26,1,13,1,13
EspotifyA,logica,Cliente,9,174,2,6,3,39,4,25,2,23
EspotifyA,logica,ListaPorDefecto,0,18,0,0,0,8,0,4,0,4
EspotifyA,logica,Subscripcion,28,48,2,2,11,16,8,7,6,6
EspotifyA,logica,Usuario,0,104,0,0,0,36,0,19,0,19
EspotifyA,logica,ListaReproduccion,19,47,2,0,4,19,4,10,3,10
EspotifyA,logica,Artista,25,124,5,5,6,31,4,13,0,12
EspotifyA,logica,Tema,0,140,0,0,0,45,0,19,0,19
EspotifyA,logica,ListaParticular,0,27,0,0,0,11,0,6,0,6
EspotifyA,controladores,Sistema,91,2888,16,232,20,685,12,223,3,108
EspotifyA,controladores,Fabrica,2,6,0,0,1,2,1,2,1,2
EspotifyA,datatypes,DataSub,39,39,0,0,18,12,7,6,7,6
EspotifyA,datatypes,DataGenero,4,60,3,3,0,19,3,9,0,9
EspotifyA,datatypes,DataAlbum,33,148,4,4,11,49,7,19,3,19
EspotifyA,datatypes,DataUsuario,0,138,0,0,0,51,0,14,0,14
EspotifyA,datatypes,DataTema,0,87,0,0,0,30,0,10,0,10
EspotifyA,datatypes,DataLista,29,142,2,4,8,40,7,13,6,11
